			Протокол прохода WK_00003 над изображением WK_00005 с шагом 1000 пикселей.


Имитация высоты полета на 50.0 м. Высота опорного изображения: 500 м.
-------------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант               | Отклонение         |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения             | от истины          |
-------------------------------------------------------------------------------------------------------------------------
|  67   |       227176       |      2683      |    27    |       23        |   Поворот 180 град    |   [-1296, -1305]   |
|  68   |       227176       |      4284      |    31    |       27        |   Поворот 180 град    |   [-1892, -1306]   |
|  69   |       227176       |      3545      |    40    |       38        |   Поворот 180 град    |   [-2574, -1224]   |
|  70   |       227176       |      3778      |    16    |       10        |   Поворот 180 град    |   [-3050, -1229]   |
|  71   |       227176       |      2252      |    6     |        6        |   Поворот 180 град    |   [-726, -1937]    |
|  72   |       227176       |      3285      |   120    |       116       |   Поворот 180 град    |   [-1268, -1913]   |
|  73   |       227176       |      2094      |    56    |       50        |   Поворот 180 град    |   [-1911, -1923]   |
|  74   |       227176       |      1575      |    27    |       19        |   Поворот 180 град    |   [-2480, -1822]   |
|  75   |       227176       |      3867      |    33    |       26        |   Поворот 180 град    |   [-3123, -1801]   |
|  76   |       227176       |       2        |    2     |        0        |   Поворот 180 град    |     не найдено     |
|  77   |       227176       |       78       |    0     |        0        |   Поворот 180 град    |     не найдено     |
|  78   |       227176       |      425       |    10    |        0        |   Поворот 180 град    |     не найдено     |
|  79   |       227176       |      567       |    36    |        0        |   Поворот 180 град    |     не найдено     |
|  80   |       227176       |      1232      |    22    |       21        |   Поворот 180 град    |   [-3021, -2467]   |
-------------------------------------------------------------------------------------------------------------------------
|  81   |       227176       |      2065      |    10    |       10        |      Яркость +30      |    [-549, -820]    |
|  82   |       227176       |      5047      |    11    |       10        |      Яркость +30      |   [-1058, -723]    |
|  83   |       227176       |      5110      |    61    |       49        |      Яркость +30      |   [-1824, -698]    |
|  84   |       227176       |      3579      |    17    |       14        |      Яркость +30      |   [-2569, -553]    |
|  85   |       227176       |      2400      |    25    |       19        |      Яркость +30      |   [-3069, -652]    |
|  86   |       227176       |      1991      |    20    |       10        |      Яркость +30      |   [-782, -1400]    |
|  87   |       227176       |      2650      |    35    |       33        |      Яркость +30      |   [-1256, -1315]   |
|  88   |       227176       |      4269      |    30    |       28        |      Яркость +30      |   [-1847, -1316]   |
|  89   |       227176       |      3477      |    48    |       44        |      Яркость +30      |   [-2543, -1231]   |
|  90   |       227176       |      3719      |    18    |        9        |      Яркость +30      |   [-2982, -1256]   |
|  91   |       227176       |      2255      |    5     |        4        |      Яркость +30      |   [-944, -1899]    |
|  92   |       227176       |      3287      |   117    |       114       |      Яркость +30      |   [-1260, -1913]   |
|  93   |       227176       |      2078      |    52    |       47        |      Яркость +30      |   [-1906, -1914]   |
|  94   |       227176       |      1570      |    26    |       17        |      Яркость +30      |   [-2529, -1846]   |
|  95   |       227176       |      3903      |    33    |       29        |      Яркость +30      |   [-3125, -1795]   |
|  96   |       227176       |       2        |    0     |        0        |      Яркость +30      |     не найдено     |
|  97   |       227176       |       75       |    0     |        0        |      Яркость +30      |     не найдено     |
|  98   |       227176       |      423       |    20    |        0        |      Яркость +30      |     не найдено     |
|  99   |       227176       |      563       |    39    |        0        |      Яркость +30      |     не найдено     |
|  100  |       227176       |      1262      |    20    |       20        |      Яркость +30      |   [-3019, -2439]   |
-------------------------------------------------------------------------------------------------------------------------
|  101  |       227176       |      3158      |    14    |        0        |      Яркость -30      |     не найдено     |
|  102  |       227176       |      6619      |    11    |        8        |      Яркость -30      |   [-1064, -624]    |
|  103  |       227176       |      5835      |    63    |       56        |      Яркость -30      |   [-1799, -694]    |
|  104  |       227176       |      4207      |    18    |        4        |      Яркость -30      |   [-2629, -658]    |
|  105  |       227176       |      2920      |    25    |       20        |      Яркость -30      |   [-3072, -542]    |
|  106  |       227176       |      2551      |    13    |        0        |      Яркость -30      |     не найдено     |
|  107  |       227176       |      2737      |    32    |       28        |      Яркость -30      |   [-1302, -1329]   |
|  108  |       227176       |      4454      |    25    |       24        |      Яркость -30      |   [-1825, -1340]   |
|  109  |       227176       |      3651      |    38    |       33        |      Яркость -30      |   [-2560, -1253]   |
|  110  |       227176       |      4417      |    16    |       16        |      Яркость -30      |   [-3176, -1222]   |
|  111  |       227176       |      2277      |    4     |        4        |      Яркость -30      |   [-853, -1949]    |
|  112  |       227176       |      3313      |   114    |       110       |      Яркость -30      |   [-1260, -1913]   |
|  113  |       227176       |      2034      |    54    |       48        |      Яркость -30      |   [-1906, -1910]   |
|  114  |       227176       |      1601      |    27    |       22        |      Яркость -30      |   [-2514, -1856]   |
|  115  |       227176       |      4963      |    35    |       30        |      Яркость -30      |   [-3146, -1777]   |
|  116  |       227176       |      350       |    3     |        0        |      Яркость -30      |     не найдено     |
|  117  |       227176       |      2221      |    0     |        0        |      Яркость -30      |     не найдено     |
|  118  |       227176       |      438       |    14    |        0        |      Яркость -30      |     не найдено     |
|  119  |       227176       |      578       |    22    |        0        |      Яркость -30      |     не найдено     |
|  120  |       227176       |      1404      |    18    |       18        |      Яркость -30      |   [-3019, -2439]   |
-------------------------------------------------------------------------------------------------------------------------
|  121  |       227176       |      2591      |    5     |        4        |   Добавление шумов    |    [-723, -791]    |
|  122  |       227176       |      5439      |    6     |        6        |   Добавление шумов    |   [-1058, -624]    |
|  123  |       227176       |      4970      |    47    |       47        |   Добавление шумов    |   [-1800, -691]    |
