			Протокол прохода WK_00003 над изображением WK_00005 с шагом 1000 пикселей.


Имитация высоты полета на 50.0 м. Высота опорного изображения: 500 м.
-------------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант               | Отклонение         |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения             | от истины          |
-------------------------------------------------------------------------------------------------------------------------
|  118  |       227176       |      180       |    14    |        0        |      Яркость -30      |     не найдено     |
|  119  |       227176       |       31       |    2     |        0        |      Яркость -30      |     не найдено     |
|  120  |       227176       |      989       |    14    |       12        |      Яркость -30      |   [-3203, -2504]   |
-------------------------------------------------------------------------------------------------------------------------
|  121  |       227176       |      966       |    4     |        4        |   Добавление шумов    |    [-704, -819]    |
|  122  |       227176       |      2185      |    8     |        0        |   Добавление шумов    |     не найдено     |
|  123  |       227176       |      2008      |    30    |       26        |   Добавление шумов    |   [-1887, -738]    |
|  124  |       227176       |      1943      |    3     |        3        |   Добавление шумов    |   [-2463, -585]    |
|  125  |       227176       |      1455      |    2     |        0        |   Добавление шумов    |     не найдено     |
|  126  |       227176       |      1001      |    7     |        7        |   Добавление шумов    |   [-706, -1479]    |
|  127  |       227176       |      1307      |    6     |        0        |   Добавление шумов    |     не найдено     |
|  128  |       227176       |      2058      |    2     |        0        |   Добавление шумов    |     не найдено     |
|  129  |       227176       |      1740      |    4     |        4        |   Добавление шумов    |   [-2666, -1324]   |
|  130  |       227176       |      1869      |    7     |        7        |   Добавление шумов    |   [-3218, -1303]   |
|  131  |       227176       |      1141      |    1     |        0        |   Добавление шумов    |     не найдено     |
|  132  |       227176       |      1928      |    69    |       69        |   Добавление шумов    |   [-1341, -1994]   |
|  133  |       227176       |      930       |    5     |        0        |   Добавление шумов    |     не найдено     |
|  134  |       227176       |      860       |    5     |        4        |   Добавление шумов    |   [-2703, -1904]   |
|  135  |       227176       |      1512      |    10    |       10        |   Добавление шумов    |   [-3135, -1867]   |
|  136  |       227176       |       3        |    0     |        0        |   Добавление шумов    |     не найдено     |
|  137  |       227176       |       19       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  138  |       227176       |      322       |    6     |        4        |   Добавление шумов    |   [-2350, -2547]   |
|  139  |       227176       |       53       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  140  |       227176       |      1056      |    10    |        0        |   Добавление шумов    |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  141  |       227176       |      334       |    4     |        4        |   Размытость (5, 5)   |    [-717, -828]    |
|  142  |       227176       |      742       |    16    |        0        |   Размытость (5, 5)   |     не найдено     |
|  143  |       227176       |      605       |    27    |       27        |   Размытость (5, 5)   |   [-1895, -727]    |
|  144  |       227176       |      598       |    2     |        0        |   Размытость (5, 5)   |     не найдено     |
|  145  |       227176       |      474       |    1     |        0        |   Размытость (5, 5)   |     не найдено     |
|  146  |       227176       |      288       |    11    |       11        |   Размытость (5, 5)   |   [-690, -1452]    |
|  147  |       227176       |      400       |    8     |        8        |   Размытость (5, 5)   |   [-1365, -1357]   |
|  148  |       227176       |      615       |    4     |        0        |   Размытость (5, 5)   |     не найдено     |
|  149  |       227176       |      674       |    1     |        0        |   Размытость (5, 5)   |     не найдено     |
|  150  |       227176       |      541       |    10    |        9        |   Размытость (5, 5)   |   [-3219, -1280]   |
|  151  |       227176       |      466       |    2     |        0        |   Размытость (5, 5)   |     не найдено     |
|  152  |       227176       |      748       |    64    |       64        |   Размытость (5, 5)   |   [-1348, -1990]   |
|  153  |       227176       |      169       |    24    |        0        |   Размытость (5, 5)   |     не найдено     |
|  154  |       227176       |       92       |    29    |        0        |   Размытость (5, 5)   |     не найдено     |
|  155  |       227176       |      415       |    13    |       10        |   Размытость (5, 5)   |   [-3135, -1831]   |
|  156  |       227176       |       0        |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  157  |       227176       |       4        |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  158  |       227176       |       76       |    15    |        7        |   Размытость (5, 5)   |   [-2009, -2500]   |
|  159  |       227176       |       5        |    2     |        0        |   Размытость (5, 5)   |     не найдено     |
|  160  |       227176       |      331       |    11    |       10        |   Размытость (5, 5)   |   [-3203, -2474]   |
-------------------------------------------------------------------------------------------------------------------------
Разница высот опорного изображения и области видимости: 15.0 раз.
Из 160 сравнений найдено координат: 87. процент нахождения - 54.4 %

-------------------------------------------------------------------------------------------------------------------------

Имитация высоты полета на 25.0 м. Высота опорного изображения: 500 м.
-------------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант               | Отклонение         |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения             | от истины          |
-------------------------------------------------------------------------------------------------------------------------
|   1   |       227176       |      334       |    9     |        0        |     Без искажений     |     не найдено     |
|   2   |       227176       |      959       |    13    |        0        |     Без искажений     |     не найдено     |
|   3   |       227176       |      1212      |    12    |        0        |     Без искажений     |     не найдено     |
|   4   |       227176       |      996       |    3     |        3        |     Без искажений     |   [-2434, -691]    |
|   5   |       227176       |      713       |    2     |        0        |     Без искажений     |     не найдено     |
|   6   |       227176       |      361       |    71    |        0        |     Без искажений     |     не найдено     |
|   7   |       227176       |      262       |    6     |        0        |     Без искажений     |     не найдено     |
|   8   |       227176       |      654       |    24    |        0        |     Без искажений     |     не найдено     |
|   9   |       227176       |      903       |    4     |        3        |     Без искажений     |   [-1984, -1385]   |
|  10   |       227176       |      566       |    1     |        0        |     Без искажений     |     не найдено     |
|  11   |       227176       |      793       |    4     |        4        |     Без искажений     |   [-3284, -1291]   |
|  12   |       227176       |      766       |    7     |        7        |     Без искажений     |   [-3825, -1232]   |
|  13   |       227176       |      349       |    4     |        1        |     Без искажений     |     не найдено     |
|  14   |       227176       |      1130      |    54    |       52        |     Без искажений     |   [-1385, -1997]   |
|  15   |       227176       |      241       |    40    |        0        |     Без искажений     |     не найдено     |
|  16   |       227176       |      149       |    7     |        0        |     Без искажений     |     не найдено     |
|  17   |       227176       |      699       |    9     |        0        |     Без искажений     |     не найдено     |
|  18   |       227176       |      536       |    9     |        0        |     Без искажений     |     не найдено     |
|  19   |       227176       |       0        |    0     |        0        |     Без искажений     |     не найдено     |
|  20   |       227176       |       14       |    0     |        0        |     Без искажений     |     не найдено     |
|  21   |       227176       |      104       |    29    |        0        |     Без искажений     |     не найдено     |
|  22   |       227176       |       8        |    1     |        0        |     Без искажений     |     не найдено     |
|  23   |       227176       |      664       |    7     |        0        |     Без искажений     |     не найдено     |
|  24   |       227176       |       68       |    0     |        0        |     Без искажений     |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  25   |       227176       |      252       |    2     |        0        |    Поворот 60 град    |     не найдено     |
|  26   |       227176       |      742       |    9     |        0        |    Поворот 60 град    |     не найдено     |
|  27   |       227176       |      907       |    7     |        7        |    Поворот 60 град    |   [-1925, -753]    |
|  28   |       227176       |      793       |    3     |        3        |    Поворот 60 град    |   [-2455, -694]    |
|  29   |       227176       |      519       |    6     |        0        |    Поворот 60 град    |     не найдено     |
|  30   |       227176       |      294       |    1     |        0        |    Поворот 60 град    |     не найдено     |
|  31   |       227176       |      228       |    6     |        1        |    Поворот 60 град    |     не найдено     |
|  32   |       227176       |      609       |    13    |        0        |    Поворот 60 град    |     не найдено     |
|  33   |       227176       |      786       |    6     |        0        |    Поворот 60 град    |     не найдено     |
|  34   |       227176       |      455       |    5     |        0        |    Поворот 60 град    |     не найдено     |
|  35   |       227176       |      736       |    32    |        5        |    Поворот 60 град    |   [-3297, -1250]   |
|  36   |       227176       |      597       |    6     |        6        |    Поворот 60 град    |   [-3831, -1207]   |
|  37   |       227176       |      216       |    2     |        0        |    Поворот 60 град    |     не найдено     |
|  38   |       227176       |      765       |    30    |       17        |    Поворот 60 град    |   [-1381, -2005]   |
|  39   |       227176       |      221       |    21    |        3        |    Поворот 60 град    |   [-2471, -1946]   |
|  40   |       227176       |      181       |    4     |        0        |    Поворот 60 град    |     не найдено     |
|  41   |       227176       |      609       |    15    |        1        |    Поворот 60 град    |     не найдено     |
|  42   |       227176       |      452       |    6     |        5        |    Поворот 60 град    |   [-3876, -1830]   |
|  43   |       227176       |       4        |    0     |        0        |    Поворот 60 град    |     не найдено     |
|  44   |       227176       |       34       |    0     |        0        |    Поворот 60 град    |     не найдено     |
|  45   |       227176       |       86       |    22    |        0        |    Поворот 60 град    |     не найдено     |
|  46   |       227176       |       12       |    0     |        0        |    Поворот 60 град    |     не найдено     |
|  47   |       227176       |      397       |    9     |        9        |    Поворот 60 град    |   [-3301, -2508]   |
|  48   |       227176       |       68       |    0     |        0        |    Поворот 60 град    |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  49   |       227176       |      256       |    3     |        3        |   Поворот -120 град   |    [-746, -856]    |
|  50   |       227176       |      736       |    8     |        8        |   Поворот -120 град   |   [-1297, -803]    |
|  51   |       227176       |      897       |    16    |       16        |   Поворот -120 град   |   [-1920, -747]    |
|  52   |       227176       |      765       |    3     |        3        |   Поворот -120 град   |   [-2426, -663]    |
|  53   |       227176       |      523       |    4     |        0        |   Поворот -120 град   |     не найдено     |
|  54   |       227176       |      283       |    2     |        0        |   Поворот -120 град   |     не найдено     |
|  55   |       227176       |      229       |    7     |        0        |   Поворот -120 град   |     не найдено     |
|  56   |       227176       |      582       |    12    |        0        |   Поворот -120 град   |     не найдено     |
|  57   |       227176       |      791       |    6     |        0        |   Поворот -120 град   |     не найдено     |
|  58   |       227176       |      451       |    7     |        0        |   Поворот -120 град   |     не найдено     |
|  59   |       227176       |      731       |    23    |        5        |   Поворот -120 град   |   [-3291, -1256]   |
|  60   |       227176       |      612       |    8     |        5        |   Поворот -120 град   |   [-3848, -1210]   |
|  61   |       227176       |      218       |    2     |        0        |   Поворот -120 град   |     не найдено     |
|  62   |       227176       |      754       |    32    |       18        |   Поворот -120 град   |   [-1379, -2002]   |
|  63   |       227176       |      231       |    6     |        6        |   Поворот -120 град   |   [-1978, -1961]   |
|  64   |       227176       |      178       |    6     |        0        |   Поворот -120 град   |     не найдено     |
|  65   |       227176       |      616       |    12    |        0        |   Поворот -120 град   |     не найдено     |
|  66   |       227176       |      431       |    6     |        5        |   Поворот -120 град   |   [-3876, -1855]   |
|  67   |       227176       |       4        |    0     |        0        |   Поворот -120 град   |     не найдено     |
|  68   |       227176       |       35       |    0     |        0        |   Поворот -120 град   |     не найдено     |
|  69   |       227176       |       92       |    87    |        1        |   Поворот -120 град   |     не найдено     |
|  70   |       227176       |       11       |    0     |        0        |   Поворот -120 град   |     не найдено     |
|  71   |       227176       |      394       |    7     |        7        |   Поворот -120 град   |   [-3301, -2504]   |
|  72   |       227176       |       65       |    0     |        0        |   Поворот -120 град   |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  73   |       227176       |      336       |    13    |        0        |   Поворот 180 град    |     не найдено     |
|  74   |       227176       |      971       |    13    |        0        |   Поворот 180 град    |     не найдено     |
|  75   |       227176       |      1224      |    15    |       15        |   Поворот 180 град    |   [-1925, -747]    |
|  76   |       227176       |      986       |    7     |        0        |   Поворот 180 град    |     не найдено     |
|  77   |       227176       |      720       |    10    |        0        |   Поворот 180 град    |     не найдено     |
|  78   |       227176       |      371       |    68    |        0        |   Поворот 180 град    |     не найдено     |
|  79   |       227176       |      252       |    3     |        3        |   Поворот 180 град    |   [-818, -1511]    |
|  80   |       227176       |      648       |    20    |        0        |   Поворот 180 град    |     не найдено     |
|  81   |       227176       |      905       |    3     |        3        |   Поворот 180 град    |   [-1900, -1388]   |
|  82   |       227176       |      577       |    2     |        0        |   Поворот 180 град    |     не найдено     |
|  83   |       227176       |      791       |    19    |        0        |   Поворот 180 град    |     не найдено     |
|  84   |       227176       |      782       |    7     |        7        |   Поворот 180 град    |   [-3818, -1217]   |
|  85   |       227176       |      343       |    8     |        0        |   Поворот 180 град    |     не найдено     |
|  86   |       227176       |      1126      |    48    |       48        |   Поворот 180 град    |   [-1385, -2002]   |
|  87   |       227176       |      239       |    36    |        3        |   Поворот 180 град    |   [-2471, -1949]   |
|  88   |       227176       |      148       |    5     |        0        |   Поворот 180 град    |     не найдено     |
|  89   |       227176       |      719       |    15    |        4        |   Поворот 180 град    |   [-3187, -1920]   |
|  90   |       227176       |      532       |    6     |        3        |   Поворот 180 град    |   [-3800, -1802]   |
|  91   |       227176       |       0        |    0     |        0        |   Поворот 180 град    |     не найдено     |
|  92   |       227176       |       13       |    4     |        0        |   Поворот 180 град    |     не найдено     |
|  93   |       227176       |      106       |    26    |        0        |   Поворот 180 град    |     не найдено     |
|  94   |       227176       |       8        |   107    |        1        |   Поворот 180 град    |     не найдено     |
|  95   |       227176       |      635       |    6     |        0        |   Поворот 180 град    |     не найдено     |
|  96   |       227176       |       70       |    0     |        0        |   Поворот 180 град    |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  97   |       227176       |      334       |    9     |        0        |      Яркость +30      |     не найдено     |
|  98   |       227176       |      959       |    13    |        0        |      Яркость +30      |     не найдено     |
|  99   |       227176       |      1211      |    12    |        0        |      Яркость +30      |     не найдено     |
|  100  |       227176       |      995       |    3     |        3        |      Яркость +30      |   [-2434, -691]    |
|  101  |       227176       |      714       |    2     |        0        |      Яркость +30      |     не найдено     |
|  102  |       227176       |      361       |    71    |        0        |      Яркость +30      |     не найдено     |
|  103  |       227176       |      264       |    7     |        3        |      Яркость +30      |   [-829, -1484]    |
|  104  |       227176       |      656       |    41    |        0        |      Яркость +30      |     не найдено     |
|  105  |       227176       |      889       |    3     |        3        |      Яркость +30      |   [-1901, -1388]   |
|  106  |       227176       |      553       |    1     |        0        |      Яркость +30      |     не найдено     |
|  107  |       227176       |      789       |    4     |        4        |      Яркость +30      |   [-3284, -1291]   |
|  108  |       227176       |      766       |    7     |        7        |      Яркость +30      |   [-3825, -1232]   |
|  109  |       227176       |      350       |    4     |        1        |      Яркость +30      |     не найдено     |
|  110  |       227176       |      1121      |    54    |       52        |      Яркость +30      |   [-1385, -1997]   |
|  111  |       227176       |      244       |    15    |        0        |      Яркость +30      |     не найдено     |
|  112  |       227176       |      147       |    7     |        0        |      Яркость +30      |     не найдено     |
|  113  |       227176       |      699       |    9     |        0        |      Яркость +30      |     не найдено     |
|  114  |       227176       |      536       |    9     |        0        |      Яркость +30      |     не найдено     |
|  115  |       227176       |       0        |    0     |        0        |      Яркость +30      |     не найдено     |
|  116  |       227176       |       14       |    0     |        0        |      Яркость +30      |     не найдено     |
|  117  |       227176       |      105       |    29    |        0        |      Яркость +30      |     не найдено     |
|  118  |       227176       |       8        |    1     |        0        |      Яркость +30      |     не найдено     |
|  119  |       227176       |      669       |    7     |        0        |      Яркость +30      |     не найдено     |
|  120  |       227176       |       68       |    0     |        0        |      Яркость +30      |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  121  |       227176       |      543       |    5     |        0        |      Яркость -30      |     не найдено     |
|  122  |       227176       |      1247      |    15    |        0        |      Яркость -30      |     не найдено     |
|  123  |       227176       |      1631      |    21    |        0        |      Яркость -30      |     не найдено     |
|  124  |       227176       |      1312      |    13    |        0        |      Яркость -30      |     не найдено     |
|  125  |       227176       |      939       |    4     |        0        |      Яркость -30      |     не найдено     |
|  126  |       227176       |      661       |    17    |        0        |      Яркость -30      |     не найдено     |
|  127  |       227176       |      404       |    2     |        0        |      Яркость -30      |     не найдено     |
|  128  |       227176       |      692       |    18    |        0        |      Яркость -30      |     не найдено     |
|  129  |       227176       |      934       |    5     |        4        |      Яркость -30      |   [-1984, -1385]   |
|  130  |       227176       |      558       |    4     |        1        |      Яркость -30      |     не найдено     |
|  131  |       227176       |      846       |    4     |        0        |      Яркость -30      |     не найдено     |
|  132  |       227176       |      1063      |    4     |        4        |      Яркость -30      |   [-3880, -1232]   |
|  133  |       227176       |      358       |    5     |        0        |      Яркость -30      |     не найдено     |
|  134  |       227176       |      1140      |    56    |       54        |      Яркость -30      |   [-1385, -1997]   |
|  135  |       227176       |      234       |    42    |        0        |      Яркость -30      |     не найдено     |
|  136  |       227176       |      149       |    7     |        0        |      Яркость -30      |     не найдено     |
|  137  |       227176       |      942       |    6     |        6        |      Яркость -30      |   [-3208, -1888]   |
|  138  |       227176       |      948       |    8     |        0        |      Яркость -30      |     не найдено     |
|  139  |       227176       |       1        |    0     |        0        |      Яркость -30      |     не найдено     |
|  140  |       227176       |      540       |    0     |        0        |      Яркость -30      |     не найдено     |
|  141  |       227176       |      101       |    21    |        0        |      Яркость -30      |     не найдено     |
|  142  |       227176       |       7        |    2     |        0        |      Яркость -30      |     не найдено     |
|  143  |       227176       |      675       |    5     |        4        |      Яркость -30      |   [-3266, -2471]   |
|  144  |       227176       |      1039      |    0     |        0        |      Яркость -30      |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  145  |       227176       |      412       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  146  |       227176       |      1203      |    10    |       10        |   Добавление шумов    |   [-1252, -793]    |
|  147  |       227176       |      1205      |    4     |        4        |   Добавление шумов    |   [-1918, -739]    |
|  148  |       227176       |      1099      |    1     |        0        |   Добавление шумов    |     не найдено     |
|  149  |       227176       |      865       |    2     |        0        |   Добавление шумов    |     не найдено     |
|  150  |       227176       |      460       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  151  |       227176       |      351       |    9     |        0        |   Добавление шумов    |     не найдено     |
|  152  |       227176       |      802       |    14    |        0        |   Добавление шумов    |     не найдено     |
|  153  |       227176       |      1023      |    4     |        0        |   Добавление шумов    |     не найдено     |
|  154  |       227176       |      674       |    2     |        0        |   Добавление шумов    |     не найдено     |
|  155  |       227176       |      968       |    6     |        0        |   Добавление шумов    |     не найдено     |
|  156  |       227176       |      930       |    7     |        7        |   Добавление шумов    |   [-3810, -1192]   |
|  157  |       227176       |      530       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  158  |       227176       |      1137      |    40    |       34        |   Добавление шумов    |   [-1399, -1995]   |
|  159  |       227176       |      502       |    9     |        8        |   Добавление шумов    |   [-1994, -1957]   |
|  160  |       227176       |      389       |    1     |        0        |   Добавление шумов    |     не найдено     |
|  161  |       227176       |      891       |    5     |        5        |   Добавление шумов    |   [-3244, -1881]   |
|  162  |       227176       |      695       |    5     |        5        |   Добавление шумов    |   [-3872, -1851]   |
|  163  |       227176       |       6        |    0     |        0        |   Добавление шумов    |     не найдено     |
|  164  |       227176       |       15       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  165  |       227176       |      216       |    6     |        0        |   Добавление шумов    |     не найдено     |
|  166  |       227176       |       14       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  167  |       227176       |      705       |    4     |        0        |   Добавление шумов    |     не найдено     |
|  168  |       227176       |       76       |    0     |        0        |   Добавление шумов    |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  169  |       227176       |      135       |    6     |        0        |   Размытость (5, 5)   |     не найдено     |
|  170  |       227176       |      410       |    14    |        0        |   Размытость (5, 5)   |     не найдено     |
|  171  |       227176       |      307       |    8     |        8        |   Размытость (5, 5)   |   [-1930, -736]    |
|  172  |       227176       |      341       |    2     |        0        |   Размытость (5, 5)   |     не найдено     |
|  173  |       227176       |      283       |    1     |        0        |   Размытость (5, 5)   |     не найдено     |
|  174  |       227176       |      127       |    3     |        0        |   Размытость (5, 5)   |     не найдено     |
|  175  |       227176       |      110       |    2     |        0        |   Размытость (5, 5)   |     не найдено     |
|  176  |       227176       |      261       |    5     |        4        |   Размытость (5, 5)   |   [-1428, -1417]   |
|  177  |       227176       |      305       |    2     |        0        |   Размытость (5, 5)   |     не найдено     |
|  178  |       227176       |      218       |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  179  |       227176       |      297       |    3     |        0        |   Размытость (5, 5)   |     не найдено     |
|  180  |       227176       |      317       |    13    |        2        |   Размытость (5, 5)   |   [-3098, -1293]   |
|  181  |       227176       |      182       |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  182  |       227176       |      435       |    32    |       31        |   Размытость (5, 5)   |   [-1390, -1999]   |
|  183  |       227176       |       73       |    9     |        5        |   Размытость (5, 5)   |   [-2036, -1910]   |
|  184  |       227176       |       32       |    3     |        0        |   Размытость (5, 5)   |     не найдено     |
|  185  |       227176       |      221       |    10    |        2        |   Размытость (5, 5)   |   [-3278, -1839]   |
|  186  |       227176       |      251       |    4     |        4        |   Размытость (5, 5)   |   [-3860, -1835]   |
|  187  |       227176       |       0        |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  188  |       227176       |       4        |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  189  |       227176       |       32       |    13    |        0        |   Размытость (5, 5)   |     не найдено     |
|  190  |       227176       |       1        |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  191  |       227176       |      227       |    2     |        0        |   Размытость (5, 5)   |     не найдено     |
|  192  |       227176       |       12       |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
Разница высот опорного изображения и области видимости: 20.0 раз.
Из 192 сравнений найдено координат: 56. процент нахождения - 29.2 %

-------------------------------------------------------------------------------------------------------------------------

Имитация высоты полета на 20.0 м. Высота опорного изображения: 500 м.
-------------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант               | Отклонение         |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения             | от истины          |
-------------------------------------------------------------------------------------------------------------------------
|   1   |       227176       |      199       |    11    |        0        |     Без искажений     |     не найдено     |
|   2   |       227176       |      712       |    12    |        0        |     Без искажений     |     не найдено     |
|   3   |       227176       |      958       |    8     |        8        |     Без искажений     |   [-1947, -770]    |
|   4   |       227176       |      742       |    3     |        3        |     Без искажений     |   [-2462, -709]    |
|   5   |       227176       |      512       |    2     |        0        |     Без искажений     |     не найдено     |
|   6   |       227176       |      321       |    94    |        0        |     Без искажений     |     не найдено     |
|   7   |       227176       |      141       |    1     |        0        |     Без искажений     |     не найдено     |
|   8   |       227176       |      552       |    16    |        0        |     Без искажений     |     не найдено     |
|   9   |       227176       |      626       |    3     |        3        |     Без искажений     |   [-1896, -1406]   |
|  10   |       227176       |      418       |    1     |        0        |     Без искажений     |     не найдено     |
|  11   |       227176       |      593       |    1     |        0        |     Без искажений     |     не найдено     |
|  12   |       227176       |      598       |    6     |        6        |     Без искажений     |   [-3830, -1244]   |
|  13   |       227176       |      291       |    0     |        0        |     Без искажений     |     не найдено     |
|  14   |       227176       |      849       |    38    |       11        |     Без искажений     |   [-1453, -2026]   |
|  15   |       227176       |      145       |    17    |        0        |     Без искажений     |     не найдено     |
|  16   |       227176       |      113       |    3     |        0        |     Без искажений     |     не найдено     |
|  17   |       227176       |      561       |    11    |        3        |     Без искажений     |   [-3215, -1929]   |
|  18   |       227176       |      413       |    6     |        6        |     Без искажений     |   [-3868, -1857]   |
|  19   |       227176       |       0        |    0     |        0        |     Без искажений     |     не найдено     |
|  20   |       227176       |       12       |    6     |        0        |     Без искажений     |     не найдено     |
|  21   |       227176       |       92       |    30    |        0        |     Без искажений     |     не найдено     |
|  22   |       227176       |       8        |    1     |        0        |     Без искажений     |     не найдено     |
|  23   |       227176       |      513       |    7     |        0        |     Без искажений     |     не найдено     |
|  24   |       227176       |       60       |    0     |        0        |     Без искажений     |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  25   |       227176       |      157       |    1     |        0        |    Поворот 60 град    |     не найдено     |
|  26   |       227176       |      581       |    7     |        0        |    Поворот 60 град    |     не найдено     |
|  27   |       227176       |      701       |    6     |        0        |    Поворот 60 град    |     не найдено     |
|  28   |       227176       |      544       |    5     |        0        |    Поворот 60 град    |     не найдено     |
|  29   |       227176       |      381       |    2     |        0        |    Поворот 60 град    |     не найдено     |
|  30   |       227176       |      261       |   136    |        0        |    Поворот 60 град    |     не найдено     |
|  31   |       227176       |      103       |    0     |        0        |    Поворот 60 град    |     не найдено     |
|  32   |       227176       |      480       |    9     |        0        |    Поворот 60 град    |     не найдено     |
|  33   |       227176       |      575       |    4     |        0        |    Поворот 60 град    |     не найдено     |
|  34   |       227176       |      353       |    4     |        0        |    Поворот 60 град    |     не найдено     |
|  35   |       227176       |      545       |    20    |        1        |    Поворот 60 град    |     не найдено     |
|  36   |       227176       |      474       |    6     |        6        |    Поворот 60 град    |   [-3854, -1229]   |
|  37   |       227176       |      169       |    4     |        0        |    Поворот 60 град    |     не найдено     |
|  38   |       227176       |      556       |    21    |        4        |    Поворот 60 град    |   [-1438, -1996]   |
|  39   |       227176       |      116       |    28    |        0        |    Поворот 60 град    |     не найдено     |
|  40   |       227176       |      130       |    3     |        0        |    Поворот 60 град    |     не найдено     |
|  41   |       227176       |      532       |    14    |        0        |    Поворот 60 град    |     не найдено     |
|  42   |       227176       |      308       |    4     |        4        |    Поворот 60 град    |   [-3844, -1837]   |
|  43   |       227176       |       1        |    0     |        0        |    Поворот 60 град    |     не найдено     |
|  44   |       227176       |       19       |    0     |        0        |    Поворот 60 град    |     не найдено     |
|  45   |       227176       |       79       |    13    |        0        |    Поворот 60 град    |     не найдено     |
|  46   |       227176       |       9        |    0     |        0        |    Поворот 60 град    |     не найдено     |
|  47   |       227176       |      289       |    7     |        7        |    Поворот 60 град    |   [-3323, -2503]   |
|  48   |       227176       |       59       |    0     |        0        |    Поворот 60 град    |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  49   |       227176       |      160       |    1     |        0        |   Поворот -120 град   |     не найдено     |
|  50   |       227176       |      555       |    7     |        0        |   Поворот -120 град   |     не найдено     |
|  51   |       227176       |      695       |    10    |        4        |   Поворот -120 град   |   [-1980, -784]    |
|  52   |       227176       |      536       |    7     |        0        |   Поворот -120 град   |     не найдено     |
|  53   |       227176       |      374       |    3     |        0        |   Поворот -120 град   |     не найдено     |
|  54   |       227176       |      251       |   132    |        0        |   Поворот -120 град   |     не найдено     |
|  55   |       227176       |      105       |    0     |        0        |   Поворот -120 град   |     не найдено     |
|  56   |       227176       |      464       |    9     |        0        |   Поворот -120 град   |     не найдено     |
|  57   |       227176       |      566       |    5     |        0        |   Поворот -120 град   |     не найдено     |
|  58   |       227176       |      355       |    2     |        0        |   Поворот -120 град   |     не найдено     |
|  59   |       227176       |      549       |    16    |        2        |   Поворот -120 град   |   [-3303, -1242]   |
|  60   |       227176       |      459       |    8     |        7        |   Поворот -120 град   |   [-3837, -1209]   |
|  61   |       227176       |      178       |    2     |        0        |   Поворот -120 град   |     не найдено     |
|  62   |       227176       |      565       |    32    |        1        |   Поворот -120 град   |     не найдено     |
|  63   |       227176       |      120       |    36    |        0        |   Поворот -120 град   |     не найдено     |
|  64   |       227176       |      117       |    4     |        0        |   Поворот -120 град   |     не найдено     |
|  65   |       227176       |      556       |    13    |        0        |   Поворот -120 град   |     не найдено     |
|  66   |       227176       |      331       |    5     |        5        |   Поворот -120 град   |   [-3844, -1816]   |
|  67   |       227176       |       1        |    0     |        0        |   Поворот -120 град   |     не найдено     |
|  68   |       227176       |       17       |    0     |        0        |   Поворот -120 град   |     не найдено     |
|  69   |       227176       |       74       |    21    |        0        |   Поворот -120 град   |     не найдено     |
|  70   |       227176       |       12       |    0     |        0        |   Поворот -120 град   |     не найдено     |
|  71   |       227176       |      298       |    10    |        5        |   Поворот -120 град   |   [-3299, -2480]   |
|  72   |       227176       |       62       |    2     |        0        |   Поворот -120 град   |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  73   |       227176       |      204       |    12    |        0        |   Поворот 180 град    |     не найдено     |
|  74   |       227176       |      713       |    12    |        0        |   Поворот 180 град    |     не найдено     |
