			Протокол прохода WK_00002 над изображением WK_00003 с шагом 1000 пикселей.


Имитация высоты полета на 30.0 м. Высота опорного изображения: 300 м.
----------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант            | Положение на       |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения          | опорном изображ.   |
|  130  |       89205        |      928       |    49    |       48        |  Добавление шумов  |    [3702, 1330]    |
|  131  |       89205        |      899       |    94    |       92        |  Добавление шумов  |    [1068, 2140]    |
|  132  |       89205        |      180       |    6     |        6        |  Добавление шумов  |    [1746, 2017]    |
|  133  |       89205        |      474       |    27    |       25        |  Добавление шумов  |    [2421, 2020]    |
|  134  |       89205        |      409       |    7     |        6        |  Добавление шумов  |    [3054, 2012]    |
|  135  |       89205        |      473       |    27    |       11        |  Добавление шумов  |    [3763, 2039]    |
|  136  |       89205        |      415       |    19    |       18        |  Добавление шумов  |    [1081, 2793]    |
|  137  |       89205        |      226       |    23    |       19        |  Добавление шумов  |    [1723, 2753]    |
|  138  |       89205        |      127       |    6     |        5        |  Добавление шумов  |    [2359, 2825]    |
|  139  |       89205        |      356       |    13    |       13        |  Добавление шумов  |    [3200, 2651]    |
|  140  |       89205        |      631       |    46    |       40        |  Добавление шумов  |    [3828, 2664]    |
----------------------------------------------------------------------------------------------------------------------
|  141  |       89205        |      180       |    11    |       11        | Размытость (5, 5)  |     [994, 779]     |
|  142  |       89205        |      208       |    20    |       11        | Размытость (5, 5)  |    [1785, 735]     |
|  143  |       89205        |       79       |    12    |       12        | Размытость (5, 5)  |    [2337, 736]     |
|  144  |       89205        |      154       |    13    |       13        | Размытость (5, 5)  |    [3034, 682]     |
|  145  |       89205        |      266       |    24    |       22        | Размытость (5, 5)  |    [3687, 625]     |
|  146  |       89205        |      179       |    6     |        4        | Размытость (5, 5)  |    [1139, 1436]    |
|  147  |       89205        |      147       |    25    |       22        | Размытость (5, 5)  |    [1789, 1422]    |
|  148  |       89205        |      294       |    28    |       26        | Размытость (5, 5)  |    [2417, 1385]    |
|  149  |       89205        |      215       |    17    |       17        | Размытость (5, 5)  |    [3077, 1362]    |
|  150  |       89205        |      360       |    32    |       32        | Размытость (5, 5)  |    [3699, 1332]    |
|  151  |       89205        |      379       |    79    |       76        | Размытость (5, 5)  |    [1088, 2151]    |
|  152  |       89205        |       69       |    5     |        5        | Размытость (5, 5)  |    [1636, 2067]    |
|  153  |       89205        |      116       |    19    |       17        | Размытость (5, 5)  |    [2409, 2011]    |
|  154  |       89205        |       83       |    7     |        6        | Размытость (5, 5)  |    [3076, 1995]    |
|  155  |       89205        |      134       |    32    |        8        | Размытость (5, 5)  |    [3706, 1900]    |
|  156  |       89205        |      154       |    20    |       18        | Размытость (5, 5)  |    [1084, 2807]    |
|  157  |       89205        |       99       |    16    |       16        | Размытость (5, 5)  |    [1724, 2748]    |
|  158  |       89205        |       38       |    68    |        0        | Размытость (5, 5)  |     не найдено     |
|  159  |       89205        |      107       |    6     |        6        | Размытость (5, 5)  |    [3203, 2653]    |
|  160  |       89205        |      274       |    44    |       41        | Размытость (5, 5)  |    [3818, 2666]    |
----------------------------------------------------------------------------------------------------------------------
Разница высот опорного изображения и области видимости: 15.0 раз.
Из 160 сравнений найдено координат: 158. процент нахождения - 98.8 %

----------------------------------------------------------------------------------------------------------------------

Имитация высоты полета на 15.0 м. Высота опорного изображения: 300 м.
----------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант            | Положение на       |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения          | опорном изображ.   |
----------------------------------------------------------------------------------------------------------------------
|   1   |       89205        |      113       |    8     |        8        |   Без искажений    |     [922, 732]     |
|   2   |       89205        |      126       |    0     |        0        |   Без искажений    |     не найдено     |
|   3   |       89205        |       66       |    12    |       12        |   Без искажений    |    [2281, 653]     |
|   4   |       89205        |      154       |    24    |       20        |   Без искажений    |    [2999, 695]     |
|   5   |       89205        |      357       |    25    |       24        |   Без искажений    |    [3671, 616]     |
|   6   |       89205        |      148       |    31    |        2        |   Без искажений    |    [4081, 478]     |
|   7   |       89205        |      179       |    5     |        5        |   Без искажений    |    [1013, 1402]    |
|   8   |       89205        |       30       |    7     |        7        |   Без искажений    |    [1730, 1390]    |
|   9   |       89205        |      280       |    34    |       33        |   Без искажений    |    [2331, 1370]    |
|  10   |       89205        |      166       |    28    |       26        |   Без искажений    |    [3063, 1334]    |
|  11   |       89205        |      411       |    63    |       32        |   Без искажений    |    [3678, 1306]    |
|  12   |       89205        |      211       |    34    |       31        |   Без искажений    |    [4378, 1263]    |
|  13   |       89205        |      349       |    72    |       56        |   Без искажений    |    [1033, 2113]    |
|  14   |       89205        |       98       |    8     |        8        |   Без искажений    |    [1646, 2050]    |
|  15   |       89205        |       68       |    28    |       24        |   Без искажений    |    [2354, 2022]    |
|  16   |       89205        |      208       |    15    |       11        |   Без искажений    |    [3073, 2012]    |
|  17   |       89205        |      199       |    10    |       10        |   Без искажений    |    [3731, 1955]    |
|  18   |       89205        |       36       |    3     |        3        |   Без искажений    |    [4507, 1960]    |
|  19   |       89205        |      152       |    16    |       13        |   Без искажений    |    [1058, 2760]    |
|  20   |       89205        |      143       |    33    |       28        |   Без искажений    |    [1679, 2740]    |
|  21   |       89205        |       19       |    10    |        4        |   Без искажений    |    [2568, 2306]    |
|  22   |       89205        |      130       |    9     |        9        |   Без искажений    |    [3083, 2639]    |
|  23   |       89205        |      200       |    33    |       28        |   Без искажений    |    [3797, 2629]    |
|  24   |       89205        |       65       |    2     |        0        |   Без искажений    |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
|  25   |       89205        |       91       |    4     |        4        |  Поворот 60 град   |     [914, 734]     |
|  26   |       89205        |      128       |    1     |        0        |  Поворот 60 град   |     не найдено     |
|  27   |       89205        |       54       |    7     |        6        |  Поворот 60 град   |    [2299, 679]     |
|  28   |       89205        |      131       |    20    |       16        |  Поворот 60 град   |    [3012, 652]     |
|  29   |       89205        |      294       |    20    |       15        |  Поворот 60 град   |    [3656, 594]     |
|  30   |       89205        |      125       |    4     |        4        |  Поворот 60 град   |    [4268, 513]     |
|  31   |       89205        |       99       |    5     |        5        |  Поворот 60 град   |    [997, 1400]     |
|  32   |       89205        |       21       |    4     |        3        |  Поворот 60 град   |    [1734, 1388]    |
|  33   |       89205        |      199       |    21    |       21        |  Поворот 60 град   |    [2348, 1364]    |
|  34   |       89205        |      130       |    22    |       16        |  Поворот 60 град   |    [3069, 1339]    |
|  35   |       89205        |      240       |    33    |       20        |  Поворот 60 град   |    [3730, 1313]    |
|  36   |       89205        |      177       |    22    |       22        |  Поворот 60 град   |    [4393, 1251]    |
|  37   |       89205        |      283       |    48    |       41        |  Поворот 60 град   |    [1046, 2112]    |
|  38   |       89205        |       81       |    5     |        5        |  Поворот 60 град   |    [1671, 2042]    |
|  39   |       89205        |       65       |    33    |       17        |  Поворот 60 град   |    [2355, 2017]    |
|  40   |       89205        |      117       |    6     |        6        |  Поворот 60 град   |    [3063, 2016]    |
|  41   |       89205        |      172       |    6     |        6        |  Поворот 60 град   |    [3731, 1975]    |
|  42   |       89205        |       46       |    3     |        3        |  Поворот 60 град   |    [4507, 1960]    |
|  43   |       89205        |      125       |    14    |       14        |  Поворот 60 град   |    [1030, 2754]    |
|  44   |       89205        |      125       |    25    |       20        |  Поворот 60 град   |    [1679, 2749]    |
|  45   |       89205        |       16       |    1     |        0        |  Поворот 60 град   |     не найдено     |
|  46   |       89205        |      107       |    43    |        1        |  Поворот 60 град   |     не найдено     |
|  47   |       89205        |      127       |    13    |       12        |  Поворот 60 град   |    [3795, 2653]    |
|  48   |       89205        |       51       |    0     |        0        |  Поворот 60 град   |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
|  49   |       89205        |       81       |    5     |        5        | Поворот -120 град  |     [914, 734]     |
|  50   |       89205        |      113       |    0     |        0        | Поворот -120 град  |     не найдено     |
|  51   |       89205        |       62       |    7     |        7        | Поворот -120 град  |    [2299, 683]     |
|  52   |       89205        |      129       |    14    |       13        | Поворот -120 град  |    [3012, 683]     |
|  53   |       89205        |      313       |    16    |       16        | Поворот -120 град  |    [3681, 615]     |
|  54   |       89205        |      133       |    5     |        5        | Поворот -120 град  |    [4268, 516]     |
|  55   |       89205        |      114       |    4     |        4        | Поворот -120 град  |    [997, 1400]     |
|  56   |       89205        |       21       |    5     |        3        | Поворот -120 град  |    [1734, 1388]    |
|  57   |       89205        |      191       |    21    |       21        | Поворот -120 град  |    [2350, 1364]    |
|  58   |       89205        |      127       |    15    |       13        | Поворот -120 град  |    [3071, 1344]    |
|  59   |       89205        |      241       |    30    |       22        | Поворот -120 град  |    [3730, 1319]    |
|  60   |       89205        |      186       |    30    |       29        | Поворот -120 град  |    [4422, 1251]    |
|  61   |       89205        |      278       |    42    |       38        | Поворот -120 град  |    [1032, 2105]    |
|  62   |       89205        |       79       |    5     |        5        | Поворот -120 град  |    [1671, 2042]    |
|  63   |       89205        |       60       |    34    |       17        | Поворот -120 град  |    [2356, 2022]    |
|  64   |       89205        |      112       |    91    |        1        | Поворот -120 град  |     не найдено     |
|  65   |       89205        |      182       |    7     |        7        | Поворот -120 град  |    [3731, 1973]    |
|  66   |       89205        |       52       |    2     |        0        | Поворот -120 град  |     не найдено     |
|  67   |       89205        |      113       |    10    |       10        | Поворот -120 град  |    [1025, 2754]    |
|  68   |       89205        |      125       |    25    |       20        | Поворот -120 град  |    [1678, 2749]    |
|  69   |       89205        |       17       |    1     |        0        | Поворот -120 град  |     не найдено     |
|  70   |       89205        |      103       |    41    |        1        | Поворот -120 град  |     не найдено     |
|  71   |       89205        |      128       |    11    |       10        | Поворот -120 град  |    [3771, 2639]    |
|  72   |       89205        |       50       |    0     |        0        | Поворот -120 град  |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
|  73   |       89205        |      118       |    9     |        9        |  Поворот 180 град  |     [922, 732]     |
|  74   |       89205        |      159       |    1     |        0        |  Поворот 180 град  |     не найдено     |
|  75   |       89205        |       73       |    16    |       14        |  Поворот 180 град  |    [2291, 680]     |
|  76   |       89205        |      154       |    22    |       17        |  Поворот 180 град  |    [3014, 683]     |
|  77   |       89205        |      357       |    20    |       18        |  Поворот 180 град  |    [3689, 607]     |
|  78   |       89205        |      153       |    21    |        1        |  Поворот 180 град  |     не найдено     |
|  79   |       89205        |      182       |    4     |        4        |  Поворот 180 град  |    [992, 1403]     |
|  80   |       89205        |       37       |    5     |        5        |  Поворот 180 град  |    [1730, 1390]    |
|  81   |       89205        |      274       |    31    |       27        |  Поворот 180 град  |    [2325, 1370]    |
|  82   |       89205        |      176       |    34    |       32        |  Поворот 180 град  |    [3063, 1331]    |
|  83   |       89205        |      420       |    47    |       43        |  Поворот 180 град  |    [3682, 1285]    |
|  84   |       89205        |      215       |    32    |       31        |  Поворот 180 град  |    [4376, 1263]    |
|  85   |       89205        |      366       |    69    |       66        |  Поворот 180 град  |    [1027, 2109]    |
|  86   |       89205        |       93       |    8     |        8        |  Поворот 180 град  |    [1646, 2062]    |
|  87   |       89205        |       64       |    32    |       24        |  Поворот 180 град  |    [2354, 2022]    |
|  88   |       89205        |      199       |    11    |       10        |  Поворот 180 град  |    [3074, 2013]    |
|  89   |       89205        |      195       |    10    |        8        |  Поворот 180 град  |    [3731, 1958]    |
|  90   |       89205        |       44       |    6     |        6        |  Поворот 180 град  |    [4451, 1969]    |
|  91   |       89205        |      153       |    14    |       13        |  Поворот 180 град  |    [1043, 2797]    |
|  92   |       89205        |      137       |    32    |       29        |  Поворот 180 град  |    [1683, 2757]    |
|  93   |       89205        |       21       |    5     |        3        |  Поворот 180 град  |    [2342, 2773]    |
|  94   |       89205        |      127       |    12    |       12        |  Поворот 180 град  |    [3082, 2640]    |
|  95   |       89205        |      205       |    27    |       26        |  Поворот 180 град  |    [3791, 2629]    |
|  96   |       89205        |       58       |    2     |        0        |  Поворот 180 град  |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
|  97   |       89205        |      113       |    8     |        8        |    Яркость +30     |     [922, 732]     |
|  98   |       89205        |      126       |    0     |        0        |    Яркость +30     |     не найдено     |
|  99   |       89205        |       66       |    12    |       12        |    Яркость +30     |    [2281, 653]     |
|  100  |       89205        |      154       |    24    |       20        |    Яркость +30     |    [2999, 695]     |
|  101  |       89205        |      358       |    25    |       24        |    Яркость +30     |    [3671, 616]     |
|  102  |       89205        |      148       |    31    |        2        |    Яркость +30     |    [4081, 478]     |
|  103  |       89205        |      179       |    5     |        5        |    Яркость +30     |    [1013, 1402]    |
|  104  |       89205        |       30       |    7     |        7        |    Яркость +30     |    [1730, 1390]    |
|  105  |       89205        |      278       |    34    |       33        |    Яркость +30     |    [2331, 1370]    |
|  106  |       89205        |      166       |    23    |       23        |    Яркость +30     |    [3063, 1334]    |
|  107  |       89205        |      406       |    65    |       39        |    Яркость +30     |    [3679, 1299]    |
|  108  |       89205        |      211       |    34    |       31        |    Яркость +30     |    [4378, 1263]    |
|  109  |       89205        |      349       |    72    |       56        |    Яркость +30     |    [1033, 2113]    |
|  110  |       89205        |       98       |    8     |        8        |    Яркость +30     |    [1646, 2050]    |
|  111  |       89205        |       68       |    28    |       24        |    Яркость +30     |    [2354, 2022]    |
|  112  |       89205        |      209       |    15    |       11        |    Яркость +30     |    [3073, 2012]    |
|  113  |       89205        |      199       |    10    |       10        |    Яркость +30     |    [3731, 1955]    |
|  114  |       89205        |       36       |    3     |        3        |    Яркость +30     |    [4507, 1960]    |
|  115  |       89205        |      152       |    16    |       13        |    Яркость +30     |    [1058, 2760]    |
|  116  |       89205        |      143       |    33    |       28        |    Яркость +30     |    [1679, 2740]    |
|  117  |       89205        |       19       |    10    |        4        |    Яркость +30     |    [2568, 2306]    |
|  118  |       89205        |      130       |    9     |        9        |    Яркость +30     |    [3083, 2639]    |
|  119  |       89205        |      205       |    34    |       29        |    Яркость +30     |    [3797, 2627]    |
|  120  |       89205        |       65       |    2     |        0        |    Яркость +30     |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
|  121  |       89205        |      236       |    5     |        5        |    Яркость -30     |     [876, 747]     |
|  122  |       89205        |      211       |    8     |        0        |    Яркость -30     |     не найдено     |
|  123  |       89205        |      106       |    11    |        8        |    Яркость -30     |    [2315, 678]     |
|  124  |       89205        |      166       |    25    |       19        |    Яркость -30     |    [3015, 695]     |
|  125  |       89205        |      433       |    19    |       17        |    Яркость -30     |    [3687, 612]     |
|  126  |       89205        |      146       |    26    |        2        |    Яркость -30     |    [4081, 478]     |
|  127  |       89205        |      216       |    5     |        5        |    Яркость -30     |    [1032, 1411]    |
|  128  |       89205        |       42       |    8     |        8        |    Яркость -30     |    [1730, 1390]    |
|  129  |       89205        |      286       |    35    |       34        |    Яркость -30     |    [2331, 1370]    |
|  130  |       89205        |      175       |    27    |       27        |    Яркость -30     |    [3063, 1334]    |
|  131  |       89205        |      420       |    66    |       36        |    Яркость -30     |    [3681, 1306]    |
|  132  |       89205        |      447       |    67    |        1        |    Яркость -30     |     не найдено     |
|  133  |       89205        |      367       |    73    |       54        |    Яркость -30     |    [1032, 2111]    |
|  134  |       89205        |      100       |    8     |        8        |    Яркость -30     |    [1646, 2062]    |
|  135  |       89205        |       66       |    29    |       25        |    Яркость -30     |    [2354, 2022]    |
|  136  |       89205        |      208       |    14    |       11        |    Яркость -30     |    [3073, 2012]    |
|  137  |       89205        |      249       |    8     |        8        |    Яркость -30     |    [3741, 1958]    |
|  138  |       89205        |      126       |    2     |        0        |    Яркость -30     |     не найдено     |
|  139  |       89205        |      199       |    17    |       15        |    Яркость -30     |    [1043, 2794]    |
|  140  |       89205        |      248       |    32    |       24        |    Яркость -30     |    [1683, 2740]    |
|  141  |       89205        |       45       |    0     |        0        |    Яркость -30     |     не найдено     |
|  142  |       89205        |      144       |    9     |        8        |    Яркость -30     |    [3094, 2639]    |
|  143  |       89205        |      238       |    35    |       32        |    Яркость -30     |    [3794, 2627]    |
|  144  |       89205        |      204       |    0     |        0        |    Яркость -30     |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
|  145  |       89205        |      157       |    6     |        5        |  Добавление шумов  |     [949, 732]     |
|  146  |       89205        |      159       |    0     |        0        |  Добавление шумов  |     не найдено     |
|  147  |       89205        |       99       |    11    |       10        |  Добавление шумов  |    [2310, 678]     |
|  148  |       89205        |      236       |    24    |       13        |  Добавление шумов  |    [2970, 666]     |
|  149  |       89205        |      462       |    15    |       14        |  Добавление шумов  |    [3673, 617]     |
|  150  |       89205        |      195       |    15    |        5        |  Добавление шумов  |    [4288, 530]     |
|  151  |       89205        |      328       |    4     |        4        |  Добавление шумов  |    [992, 1409]     |
|  152  |       89205        |       89       |    3     |        3        |  Добавление шумов  |    [1720, 1356]    |
|  153  |       89205        |      378       |    23    |       17        |  Добавление шумов  |    [2363, 1359]    |
|  154  |       89205        |      339       |    19    |       19        |  Добавление шумов  |    [3078, 1334]    |
|  155  |       89205        |      538       |    39    |       28        |  Добавление шумов  |    [3705, 1297]    |
|  156  |       89205        |      262       |    19    |       19        |  Добавление шумов  |    [4394, 1249]    |
|  157  |       89205        |      427       |    54    |       53        |  Добавление шумов  |    [1032, 2100]    |
|  158  |       89205        |      123       |    13    |        5        |  Добавление шумов  |    [1635, 2078]    |
|  159  |       89205        |      222       |    15    |       15        |  Добавление шумов  |    [2344, 2028]    |
|  160  |       89205        |      246       |    2     |        0        |  Добавление шумов  |     не найдено     |
|  161  |       89205        |      350       |    6     |        3        |  Добавление шумов  |    [3734, 2009]    |
|  162  |       89205        |       59       |    4     |        4        |  Добавление шумов  |    [4502, 1917]    |
|  163  |       89205        |      219       |    17    |       16        |  Добавление шумов  |    [1043, 2797]    |
|  164  |       89205        |      192       |    24    |       21        |  Добавление шумов  |    [1679, 2746]    |
|  165  |       89205        |       56       |    3     |        3        |  Добавление шумов  |    [2342, 2773]    |
|  166  |       89205        |      193       |    5     |        5        |  Добавление шумов  |    [3122, 2646]    |
|  167  |       89205        |      278       |    25    |       25        |  Добавление шумов  |    [3799, 2640]    |
|  168  |       89205        |       82       |    2     |        0        |  Добавление шумов  |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
|  169  |       89205        |       70       |    6     |        4        | Размытость (5, 5)  |     [979, 724]     |
|  170  |       89205        |       72       |    8     |        0        | Размытость (5, 5)  |     не найдено     |
|  171  |       89205        |       37       |    5     |        5        | Размытость (5, 5)  |    [2279, 683]     |
|  172  |       89205        |       66       |    9     |        0        | Размытость (5, 5)  |     не найдено     |
|  173  |       89205        |      216       |    9     |        9        | Размытость (5, 5)  |    [3687, 614]     |
|  174  |       89205        |       76       |    18    |        9        | Размытость (5, 5)  |    [4328, 510]     |
|  175  |       89205        |      103       |    3     |        1        | Размытость (5, 5)  |     не найдено     |
|  176  |       89205        |       18       |    4     |        4        | Размытость (5, 5)  |    [1720, 1356]    |
|  177  |       89205        |      105       |    9     |        9        | Размытость (5, 5)  |    [2342, 1343]    |
|  178  |       89205        |       84       |    25    |       11        | Размытость (5, 5)  |    [3080, 1338]    |
|  179  |       89205        |      215       |    24    |       22        | Размытость (5, 5)  |    [3684, 1300]    |
|  180  |       89205        |      106       |    21    |       19        | Размытость (5, 5)  |    [4422, 1246]    |
|  181  |       89205        |      205       |    35    |       33        | Размытость (5, 5)  |    [1032, 2111]    |
|  182  |       89205        |       54       |    4     |        4        | Размытость (5, 5)  |    [1683, 2040]    |
|  183  |       89205        |       42       |    14    |       14        | Размытость (5, 5)  |    [2344, 2021]    |
|  184  |       89205        |       59       |    7     |        7        | Размытость (5, 5)  |    [3076, 1974]    |
|  185  |       89205        |      107       |    29    |        4        | Размытость (5, 5)  |    [3654, 1858]    |
|  186  |       89205        |       22       |    5     |        4        | Размытость (5, 5)  |    [4435, 1929]    |
|  187  |       89205        |       90       |    14    |       12        | Размытость (5, 5)  |    [1050, 2761]    |
|  188  |       89205        |       88       |    13    |       13        | Размытость (5, 5)  |    [1684, 2757]    |
|  189  |       89205        |       8        |    20    |        0        | Размытость (5, 5)  |     не найдено     |
|  190  |       89205        |       55       |    3     |        3        | Размытость (5, 5)  |    [3110, 2645]    |
|  191  |       89205        |      116       |    25    |       23        | Размытость (5, 5)  |    [3789, 2631]    |
|  192  |       89205        |       28       |    0     |        0        | Размытость (5, 5)  |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
Разница высот опорного изображения и области видимости: 20.0 раз.
Из 192 сравнений найдено координат: 162. процент нахождения - 84.4 %

----------------------------------------------------------------------------------------------------------------------

Имитация высоты полета на 12.0 м. Высота опорного изображения: 300 м.
----------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант            | Положение на       |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения          | опорном изображ.   |
----------------------------------------------------------------------------------------------------------------------
|   1   |       89205        |       64       |    5     |        5        |   Без искажений    |     [884, 735]     |
|   2   |       89205        |      106       |    0     |        0        |   Без искажений    |     не найдено     |
|   3   |       89205        |       61       |    10    |        7        |   Без искажений    |    [2257, 653]     |
|   4   |       89205        |      115       |    31    |       13        |   Без искажений    |    [2995, 666]     |
|   5   |       89205        |      287       |    17    |       15        |   Без искажений    |    [3642, 625]     |
|   6   |       89205        |      132       |    27    |        2        |   Без искажений    |    [3622, 468]     |
|   7   |       89205        |      126       |    6     |        6        |   Без искажений    |    [969, 1394]     |
|   8   |       89205        |       20       |    4     |        4        |   Без искажений    |    [1696, 1369]    |
|   9   |       89205        |      216       |    25    |       22        |   Без искажений    |    [2310, 1364]    |
|  10   |       89205        |      123       |    17    |       15        |   Без искажений    |    [3044, 1327]    |
|  11   |       89205        |      259       |    49    |       16        |   Без искажений    |    [3671, 1309]    |
|  12   |       89205        |      156       |    31    |       28        |   Без искажений    |    [4390, 1238]    |
|  13   |       89205        |      248       |    45    |       31        |   Без искажений    |    [1022, 2093]    |
|  14   |       89205        |       87       |    10    |        8        |   Без искажений    |    [1646, 2050]    |
|  15   |       89205        |       57       |    28    |       23        |   Без искажений    |    [2354, 2010]    |
|  16   |       89205        |      134       |    8     |        6        |   Без искажений    |    [3046, 1994]    |
|  17   |       89205        |      142       |    9     |        9        |   Без искажений    |    [3731, 1947]    |
|  18   |       89205        |       27       |    0     |        0        |   Без искажений    |     не найдено     |
|  19   |       89205        |      116       |    12    |       11        |   Без искажений    |    [1025, 2751]    |
|  20   |       89205        |      138       |    31    |       26        |   Без искажений    |    [1671, 2749]    |
|  21   |       89205        |       16       |    1     |        0        |   Без искажений    |     не найдено     |
|  22   |       89205        |      110       |    19    |        8        |   Без искажений    |    [3094, 2639]    |
|  23   |       89205        |      119       |    23    |       19        |   Без искажений    |    [3771, 2615]    |
|  24   |       89205        |       46       |    1     |        0        |   Без искажений    |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
|  25   |       89205        |       59       |    7     |        0        |  Поворот 60 град   |     не найдено     |
|  26   |       89205        |      105       |    0     |        0        |  Поворот 60 град   |     не найдено     |
|  27   |       89205        |       58       |    8     |        7        |  Поворот 60 град   |    [2282, 683]     |
|  28   |       89205        |       90       |    10    |        8        |  Поворот 60 град   |    [2995, 664]     |
|  29   |       89205        |      211       |    9     |        9        |  Поворот 60 град   |    [3675, 620]     |
|  30   |       89205        |       93       |    8     |        5        |  Поворот 60 град   |    [4283, 534]     |
|  31   |       89205        |       93       |    3     |        3        |  Поворот 60 град   |    [929, 1396]     |
|  32   |       89205        |       12       |    1     |        0        |  Поворот 60 град   |     не найдено     |
|  33   |       89205        |      136       |    13    |       13        |  Поворот 60 град   |    [2329, 1358]    |
|  34   |       89205        |       96       |    14    |        9        |  Поворот 60 град   |    [3038, 1329]    |
|  35   |       89205        |      149       |    21    |       13        |  Поворот 60 град   |    [3714, 1308]    |
|  36   |       89205        |      138       |    25    |       25        |  Поворот 60 град   |    [4390, 1238]    |
|  37   |       89205        |      213       |    24    |       20        |  Поворот 60 град   |    [1014, 2091]    |
|  38   |       89205        |       70       |    6     |        6        |  Поворот 60 град   |    [1671, 2042]    |
|  39   |       89205        |       49       |    14    |       10        |  Поворот 60 град   |    [2335, 2006]    |
|  40   |       89205        |       83       |    5     |        5        |  Поворот 60 град   |    [3020, 2002]    |
|  41   |       89205        |      122       |    8     |        7        |  Поворот 60 град   |    [3731, 1964]    |
|  42   |       89205        |       38       |    0     |        0        |  Поворот 60 град   |     не найдено     |
|  43   |       89205        |       94       |    11    |       11        |  Поворот 60 град   |    [1011, 2751]    |
|  44   |       89205        |      120       |    18    |       14        |  Поворот 60 град   |    [1676, 2731]    |
|  45   |       89205        |       12       |    2     |        0        |  Поворот 60 град   |     не найдено     |
|  46   |       89205        |       82       |    5     |        4        |  Поворот 60 град   |    [3098, 2644]    |
|  47   |       89205        |       85       |    11    |        8        |  Поворот 60 град   |    [3756, 2639]    |
|  48   |       89205        |       31       |    0     |        0        |  Поворот 60 град   |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
|  49   |       89205        |       57       |    3     |        3        | Поворот -120 град  |     [873, 734]     |
|  50   |       89205        |       96       |    2     |        0        | Поворот -120 град  |     не найдено     |
|  51   |       89205        |       54       |    5     |        5        | Поворот -120 град  |    [2293, 683]     |
|  52   |       89205        |       95       |    14    |       10        | Поворот -120 град  |    [2995, 664]     |
|  53   |       89205        |      216       |    10    |       10        | Поворот -120 град  |    [3655, 621]     |
|  54   |       89205        |      101       |    6     |        6        | Поворот -120 град  |    [4268, 516]     |
|  55   |       89205        |       89       |    3     |        0        | Поворот -120 град  |     не найдено     |
|  56   |       89205        |       8        |    1     |        0        | Поворот -120 град  |     не найдено     |
|  57   |       89205        |      130       |    14    |       13        | Поворот -120 град  |    [2330, 1353]    |
|  58   |       89205        |       93       |    10    |        8        | Поворот -120 град  |    [3047, 1329]    |
|  59   |       89205        |      160       |    22    |       14        | Поворот -120 град  |    [3714, 1287]    |
|  60   |       89205        |      141       |    29    |       29        | Поворот -120 град  |    [4390, 1242]    |
|  61   |       89205        |      211       |    29    |       22        | Поворот -120 град  |    [1014, 2095]    |
|  62   |       89205        |       65       |    5     |        5        | Поворот -120 град  |    [1671, 2042]    |
|  63   |       89205        |       52       |    21    |       12        | Поворот -120 град  |    [2335, 2016]    |
|  64   |       89205        |       86       |    4     |        4        | Поворот -120 град  |    [3020, 2002]    |
|  65   |       89205        |      127       |    8     |        7        | Поворот -120 град  |    [3740, 1947]    |
|  66   |       89205        |       36       |    1     |        0        | Поворот -120 град  |     не найдено     |
|  67   |       89205        |       91       |    13    |       13        | Поворот -120 град  |    [1011, 2752]    |
|  68   |       89205        |      124       |    21    |       17        | Поворот -120 град  |    [1676, 2730]    |
|  69   |       89205        |       13       |    1     |        0        | Поворот -120 град  |     не найдено     |
|  70   |       89205        |       86       |    23    |        0        | Поворот -120 град  |     не найдено     |
|  71   |       89205        |       82       |    24    |        6        | Поворот -120 град  |    [3725, 2617]    |
|  72   |       89205        |       37       |    0     |        0        | Поворот -120 град  |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
|  73   |       89205        |       76       |    6     |        5        |  Поворот 180 град  |     [873, 735]     |
|  74   |       89205        |      123       |    1     |        0        |  Поворот 180 град  |     не найдено     |
|  75   |       89205        |       69       |    12    |       11        |  Поворот 180 град  |    [2270, 651]     |
|  76   |       89205        |      110       |    21    |        9        |  Поворот 180 град  |    [2979, 681]     |
|  77   |       89205        |      292       |    14    |       11        |  Поворот 180 град  |    [3642, 620]     |
|  78   |       89205        |      131       |    35    |        1        |  Поворот 180 град  |     не найдено     |
